Sample name,time,Score,Score_CV,Score_xgb,TS
901 - 0,0,6.0,7.684829833454018,5.9438415,901
901 - 8,8,6.0,7.044128835911742,6.0894227,901
901 - 6,6,6.0,7.038323965252938,5.9438415,901
901 - 10,10,6.75,8.672194859185133,6.5688562,901
901 - 2,2,7.0,6.37410071942446,6.949496,901
901 - 4,4,7.0,6.96696542893726,6.6605325,901
902 - 0,0,6.0,6.570227670753065,6.612285,902
902 - 2,2,6.0,6.819691935971006,5.9438415,902
902 - 4,4,6.0,6.804469273743017,6.0894227,902
902 - 6,6,5.0,6.613990576295759,5.419153,902
902 - 8,8,6.0,7.177761521580102,6.448772,902
902 - 10,10,7.25,8.650935859670946,6.969423,902
903 - 0,0,6.0,7.372249004401593,5.9438415,903
903 - 2,2,5.0,6.990453460620525,5.3191533,903
903 - 4,4,7.0,6.510050251256281,7.009099,903
903 - 6,6,6.0,6.670349358017319,6.602166,903
903 - 8,8,5.0,7.010257759074171,5.9438415,903
903 - 10,10,8.0,8.602568945082266,7.758383,903
904 - 10,10,6.5,8.614536294617976,6.5106792,904
904 - 4,4,6.0,6.968181818181818,5.9438415,904
904 - 6,6,5.0,7.12129963898917,5.9438415,904
904 - 2,2,6.0,7.1157868525896415,5.9438415,904
904 - 8,8,5.0,7.261453228212232,5.9438415,904
904 - 0,0,7.0,6.18625,6.9558043,904
905 - 0,0,6.0,6.60814859197124,6.0894227,905
905 - 2,2,6.0,6.555555555555555,6.2131333,905
905 - 4,4,7.0,7.111501757910598,6.6605325,905
905 - 6,6,7.0,6.2346620450606585,6.860878,905
905 - 8,8,7.0,6.554572271386431,6.860878,905
905 - 10,10,7.75,8.604127669438185,7.2725635,905
906 - 10,10,2.0,8.643045820942556,3.897718,906
906 - 2,2,7.0,6.391876645355397,6.860878,906
906 - 0,0,4.0,5.55268022181146,5.1723843,906
906 - 4,4,6.0,6.965537047673751,5.609084,906
906 - 8,8,4.0,7.084605433376455,5.172719,906
906 - 6,6,5.0,6.373572593800978,5.962421,906
907 - 4,4,6.0,6.026429809358752,6.1358857,907
907 - 6,6,5.0,7.019556714471968,5.419153,907
907 - 8,8,8.0,6.475310968714663,6.860878,907
907 - 10,10,6.5,8.704972977405907,6.369526,907
907 - 2,2,6.0,6.63372681281619,6.860878,907
907 - 0,0,8.0,6.337903582485626,7.009099,907
908 - 0,0,5.0,5.741714285714285,5.413081,908
908 - 2,2,8.0,6.601325019485581,7.693758,908
908 - 4,4,8.0,5.901431718061674,7.009099,908
908 - 6,6,6.0,6.200093720712277,7.009099,908
908 - 8,8,9.0,6.432335329341317,7.693758,908
908 - 10,10,6.0,8.669128494289833,6.051518,908
909 - 4,4,9.0,6.160581222056632,7.221452,909
909 - 6,6,7.0,4.816,6.6605325,909
909 - 2,2,8.0,5.178384660081348,7.693758,909
909 - 0,0,7.0,6.425028184892898,6.594353,909
909 - 8,8,7.0,6.2776699029126215,6.594353,909
909 - 10,10,8.0,8.644034427961259,7.252388,909
